session,trial,latency_ms
1,1,2709.644000
1,2,2810.594000
1,3,2771.614000
1,4,2790.875000
1,5,2785.696000
1,6,2784.607000
1,7,2922.184000
1,8,2800.599000
1,9,2815.592000
1,10,2808.403000
2,1,2783.841000
2,2,2800.399000
2,3,2828.413000
2,4,2800.400000
2,5,2798.399000
2,6,2801.400000
2,7,2808.351000
2,8,2793.525000
2,9,2783.391000
2,10,2806.453000
3,1,2702.920000
3,2,2763.381000
3,3,2801.400000
3,4,2790.394000
3,5,2809.404000
3,6,2776.509000
3,7,2806.403000
3,8,2774.386000
3,9,2806.334000
3,10,2799.399000
4,1,2641.457000
4,2,2778.966000
4,3,2827.413000
4,4,2787.393000
4,5,2829.414000
4,6,2739.369000
4,7,2745.370000
4,8,2723.361000
4,9,2703.351000
4,10,2795.711000
5,1,2692.345000
5,2,2738.553000
5,3,2780.630000
5,4,2795.991000
5,5,2697.152000
5,6,2787.422000
5,7,2799.399000
5,8,2791.395000
5,9,2781.390000
5,10,2821.352000
6,1,2718.173000
6,2,2819.639000
6,3,2752.375000
6,4,2783.391000
6,5,2731.365000
6,6,2782.390000
6,7,2803.401000
6,8,2828.414000
6,9,2783.592000
6,10,2853.426000
7,1,2801.400000
7,2,2813.879000
7,3,2754.936000
7,4,2842.716000
7,5,2787.862000
7,6,2740.369000
7,7,2873.436000
7,8,2739.369000
7,9,2872.111000
7,10,2879.439000
8,1,2820.249000
8,2,2802.722000
8,3,2829.414000
8,4,2640.438000
8,5,2807.580000
8,6,2812.716000
8,7,2721.946000
8,8,2798.596000
8,9,2777.250000
8,10,2790.664000
9,1,2735.186000
9,2,2828.633000
9,3,2868.433000
9,4,2754.377000
9,5,2805.402000
9,6,2766.151000
9,7,2756.378000
9,8,2721.372000
9,9,2770.385000
9,10,2745.372000
10,1,2724.361000
10,2,2786.393000
10,3,2804.796000
10,4,2767.110000
10,5,2802.400000
10,6,2749.374000
10,7,2804.163000
10,8,2795.544000
10,9,2772.386000
10,10,2771.385000

trial,mean_ms,std_ms,n
1,2732.958,54.425,10
2,2794.316,27.767,10
3,2801.942,37.378,10
4,2775.309,52.681,10
5,2785.467,40.245,10
6,2774.031,24.983,10
7,2804.103,58.947,10
8,2776.656,36.338,10
9,2786.578,42.258,10
10,2807.160,38.194,10
