system,session,trial,latency_ms,included_in_graph
ICN,1,1,121.939000,no
ICN,1,2,15.992000,no
ICN,1,3,11.994000,no
ICN,1,4,5.829000,no
ICN,1,5,7.996000,no
ICN,1,6,5.535000,no
ICN,1,7,7.487000,no
ICN,1,8,7.748000,no
ICN,1,9,7.036000,no
ICN,1,10,4.997000,no
ICN,2,1,151.924000,yes
ICN,2,2,24.987000,yes
ICN,2,3,9.995000,yes
ICN,2,4,13.366000,yes
ICN,2,5,7.996000,yes
ICN,2,6,6.578000,yes
ICN,2,7,4.997000,yes
ICN,2,8,8.096000,yes
ICN,2,9,9.995000,yes
ICN,2,10,6.996000,yes
ICN,3,1,114.943000,yes
ICN,3,2,15.992000,yes
ICN,3,3,8.730000,yes
ICN,3,4,7.996000,yes
ICN,3,5,3.998000,yes
ICN,3,6,6.001000,yes
ICN,3,7,8.995000,yes
ICN,3,8,6.997000,yes
ICN,3,9,9.644000,yes
ICN,3,10,5.527000,yes
ICN,4,1,123.938000,yes
ICN,4,2,11.994000,yes
ICN,4,3,16.782000,yes
ICN,4,4,8.440000,yes
ICN,4,5,1.999000,yes
ICN,4,6,3.410000,yes
ICN,4,7,7.304000,yes
ICN,4,8,6.997000,yes
ICN,4,9,6.767000,yes
ICN,4,10,2.245000,yes
ICN,5,1,110.945000,yes
ICN,5,2,15.830000,yes
ICN,5,3,9.995000,yes
ICN,5,4,2.999000,yes
ICN,5,5,3.998000,yes
ICN,5,6,8.095000,yes
ICN,5,7,1.999000,yes
ICN,5,8,7.175000,yes
ICN,5,9,2.999000,yes
ICN,5,10,6.339000,yes
ICN,6,1,133.313000,yes
ICN,6,2,28.985000,yes
ICN,6,3,8.974000,yes
ICN,6,4,15.052000,yes
ICN,6,5,7.058000,yes
ICN,6,6,7.996000,yes
ICN,6,7,4.997000,yes
ICN,6,8,10.879000,yes
ICN,6,9,7.996000,yes
ICN,6,10,11.577000,yes
ICN,7,1,124.937000,yes
ICN,7,2,16.155000,yes
ICN,7,3,10.994000,yes
ICN,7,4,5.929000,yes
ICN,7,5,4.998000,yes
ICN,7,6,6.803000,yes
ICN,7,7,6.662000,yes
ICN,7,8,2.998000,yes
ICN,7,9,10.710000,yes
ICN,7,10,4.192000,yes
ICN,8,1,127.842000,yes
ICN,8,2,15.241000,yes
ICN,8,3,18.991000,yes
ICN,8,4,7.996000,yes
ICN,8,5,11.994000,yes
ICN,8,6,6.977000,yes
ICN,8,7,8.996000,yes
ICN,8,8,4.998000,yes
ICN,8,9,4.049000,yes
ICN,8,10,4.998000,yes
ICN,9,1,105.887000,yes
ICN,9,2,11.907000,yes
ICN,9,3,9.995000,yes
ICN,9,4,7.996000,yes
ICN,9,5,4.501000,yes
ICN,9,6,7.996000,yes
ICN,9,7,5.997000,yes
ICN,9,8,2.998000,yes
ICN,9,9,16.649000,yes
ICN,9,10,4.998000,yes
ICN,10,1,174.913000,yes
ICN,10,2,27.018000,yes
ICN,10,3,8.995000,yes
ICN,10,4,4.998000,yes
ICN,10,5,5.460000,yes
ICN,10,6,9.729000,yes
ICN,10,7,3.437000,yes
ICN,10,8,5.678000,yes
ICN,10,9,0.000000,yes
ICN,10,10,6.802000,yes
ICN,11,1,130.830000,yes
ICN,11,2,38.965000,yes
ICN,11,3,12.993000,yes
ICN,11,4,7.218000,yes
ICN,11,5,4.997000,yes
ICN,11,6,13.292000,yes
ICN,11,7,8.996000,yes
ICN,11,8,11.994000,yes
ICN,11,9,3.468000,yes
ICN,11,10,25.987000,yes
ICN,12,1,101.852000,no
ICN,12,2,14.069000,no
ICN,12,3,13.993000,no
ICN,12,4,6.997000,no
ICN,12,5,5.997000,no
ICN,12,6,9.995000,no
ICN,12,7,10.995000,no
ICN,12,8,5.997000,no
ICN,12,9,9.995000,no
ICN,12,10,2.999000,no
