system,session,trial,latency_ms,included_in_graph
ICN,1,1,32.016000,no
ICN,1,2,5.738000,no
ICN,1,3,4.002000,no
ICN,1,4,1.527000,no
ICN,1,5,0.000000,no
ICN,1,6,0.000000,no
ICN,1,7,1.005000,no
ICN,1,8,5.639000,no
ICN,1,9,1.001000,no
ICN,1,10,1.000000,no
ICN,2,1,29.015000,yes
ICN,2,2,7.004000,yes
ICN,2,3,10.005000,yes
ICN,2,4,2.001000,yes
ICN,2,5,5.209000,yes
ICN,2,6,1.001000,yes
ICN,2,7,0.000000,yes
ICN,2,8,2.001000,yes
ICN,2,9,3.001000,yes
ICN,2,10,0.000000,yes
ICN,3,1,18.162000,yes
ICN,3,2,32.016000,yes
ICN,3,3,5.824000,yes
ICN,3,4,0.000000,yes
ICN,3,5,0.537000,yes
ICN,3,6,2.001000,yes
ICN,3,7,2.001000,yes
ICN,3,8,2.001000,yes
ICN,3,9,2.001000,yes
ICN,3,10,0.000000,yes
ICN,4,1,16.008000,yes
ICN,4,2,3.876000,yes
ICN,4,3,23.011000,yes
ICN,4,4,0.000000,yes
ICN,4,5,1.401000,yes
ICN,4,6,1.000000,yes
ICN,4,7,2.001000,yes
ICN,4,8,0.000000,yes
ICN,4,9,1.000000,yes
ICN,4,10,0.000000,yes
ICN,5,1,57.952000,yes
ICN,5,2,5.875000,yes
ICN,5,3,14.080000,yes
ICN,5,4,2.001000,yes
ICN,5,5,1.446000,yes
ICN,5,6,1.794000,yes
ICN,5,7,0.000000,yes
ICN,5,8,1.845000,yes
ICN,5,9,2.001000,yes
ICN,5,10,2.547000,yes
ICN,6,1,21.010000,yes
ICN,6,2,5.003000,yes
ICN,6,3,4.002000,yes
ICN,6,4,2.001000,yes
ICN,6,5,3.001000,yes
ICN,6,6,3.002000,yes
ICN,6,7,1.001000,yes
ICN,6,8,2.001000,yes
ICN,6,9,0.000000,yes
ICN,6,10,2.001000,yes
ICN,7,1,45.022000,yes
ICN,7,2,7.004000,yes
ICN,7,3,6.003000,yes
ICN,7,4,0.668000,yes
ICN,7,5,0.000000,yes
ICN,7,6,0.000000,yes
ICN,7,7,0.000000,yes
ICN,7,8,0.000000,yes
ICN,7,9,3.898000,yes
ICN,7,10,2.001000,yes
ICN,8,1,25.647000,yes
ICN,8,2,13.925000,yes
ICN,8,3,4.002000,yes
ICN,8,4,4.321000,yes
ICN,8,5,4.002000,yes
ICN,8,6,7.004000,yes
ICN,8,7,2.001000,yes
ICN,8,8,16.008000,yes
ICN,8,9,3.190000,yes
ICN,8,10,1.624000,yes
ICN,9,1,21.384000,yes
ICN,9,2,7.639000,yes
ICN,9,3,0.000000,yes
ICN,9,4,2.001000,yes
ICN,9,5,0.302000,yes
ICN,9,6,0.703000,yes
ICN,9,7,0.000000,yes
ICN,9,8,4.255000,yes
ICN,9,9,1.001000,yes
ICN,9,10,1.497000,yes
ICN,10,1,21.016000,yes
ICN,10,2,8.543000,yes
ICN,10,3,4.928000,yes
ICN,10,4,3.058000,yes
ICN,10,5,2.001000,yes
ICN,10,6,0.428000,yes
ICN,10,7,12.006000,yes
ICN,10,8,2.940000,yes
ICN,10,9,7.820000,yes
ICN,10,10,1.000000,yes
ICN,11,1,18.009000,yes
ICN,11,2,21.010000,yes
ICN,11,3,5.003000,yes
ICN,11,4,8.004000,yes
ICN,11,5,0.000000,yes
ICN,11,6,6.003000,yes
ICN,11,7,2.001000,yes
ICN,11,8,1.473000,yes
ICN,11,9,2.001000,yes
ICN,11,10,1.128000,yes
ICN,12,1,18.009000,no
ICN,12,2,5.003000,no
ICN,12,3,0.000000,no
ICN,12,4,1.483000,no
ICN,12,5,2.001000,no
ICN,12,6,3.001000,no
ICN,12,7,1.000000,no
ICN,12,8,2.001000,no
ICN,12,9,1.001000,no
ICN,12,10,3.001000,no
IP,1,1,26.524000,no
IP,1,2,17.725000,no
IP,1,3,47.024000,no
IP,1,4,17.008000,no
IP,1,5,32.016000,no
IP,1,6,27.013000,no
IP,1,7,41.464000,no
IP,1,8,42.021000,no
IP,1,9,50.025000,no
IP,1,10,14.007000,no
IP,2,1,16.008000,yes
IP,2,2,38.019000,yes
IP,2,3,33.239000,yes
IP,2,4,32.016000,yes
IP,2,5,22.011000,yes
IP,2,6,20.010000,yes
IP,2,7,35.017000,yes
IP,2,8,24.012000,yes
IP,2,9,28.014000,yes
IP,2,10,26.013000,yes
IP,3,1,19.010000,yes
IP,3,2,19.010000,yes
IP,3,3,34.201000,yes
IP,3,4,27.518000,yes
IP,3,5,21.156000,yes
IP,3,6,21.010000,yes
IP,3,7,14.659000,yes
IP,3,8,30.015000,yes
IP,3,9,25.012000,yes
IP,3,10,27.634000,yes
IP,4,1,14.230000,yes
IP,4,2,36.443000,yes
IP,4,3,34.062000,yes
IP,4,4,24.012000,yes
IP,4,5,19.009000,yes
IP,4,6,23.011000,yes
IP,4,7,17.059000,yes
IP,4,8,26.013000,yes
IP,4,9,76.038000,yes
IP,4,10,29.014000,yes
IP,5,1,22.136000,yes
IP,5,2,19.768000,yes
IP,5,3,36.018000,yes
IP,5,4,23.011000,yes
IP,5,5,46.128000,yes
IP,5,6,23.871000,yes
IP,5,7,20.010000,yes
IP,5,8,29.014000,yes
IP,5,9,25.012000,yes
IP,5,10,26.013000,yes
IP,6,1,23.317000,yes
IP,6,2,14.956000,yes
IP,6,3,35.784000,yes
IP,6,4,32.016000,yes
IP,6,5,24.012000,yes
IP,6,6,93.046000,yes
IP,6,7,22.011000,yes
IP,6,8,12.006000,yes
IP,6,9,21.011000,yes
IP,6,10,21.980000,yes
IP,7,1,25.013000,yes
IP,7,2,29.014000,yes
IP,7,3,39.019000,yes
IP,7,4,21.200000,yes
IP,7,5,19.009000,yes
IP,7,6,34.399000,yes
IP,7,7,24.012000,yes
IP,7,8,21.011000,yes
IP,7,9,24.012000,yes
IP,7,10,21.375000,yes
IP,8,1,36.018000,yes
IP,8,2,21.010000,yes
IP,8,3,39.499000,yes
IP,8,4,22.612000,yes
IP,8,5,53.026000,yes
IP,8,6,36.018000,yes
IP,8,7,73.510000,yes
IP,8,8,20.010000,yes
IP,8,9,53.027000,yes
IP,8,10,28.411000,yes
IP,9,1,19.815000,yes
IP,9,2,31.015000,yes
IP,9,3,43.022000,yes
IP,9,4,20.010000,yes
IP,9,5,28.014000,yes
IP,9,6,20.725000,yes
IP,9,7,25.013000,yes
IP,9,8,32.138000,yes
IP,9,9,24.010000,yes
IP,9,10,16.008000,yes
IP,10,1,16.938000,yes
IP,10,2,21.010000,yes
IP,10,3,36.018000,yes
IP,10,4,35.522000,yes
IP,10,5,23.011000,yes
IP,10,6,22.011000,yes
IP,10,7,27.013000,yes
IP,10,8,34.017000,yes
IP,10,9,34.895000,yes
IP,10,10,22.102000,yes
IP,11,1,15.183000,yes
IP,11,2,31.163000,yes
IP,11,3,30.015000,yes
IP,11,4,22.011000,yes
IP,11,5,43.021000,yes
IP,11,6,21.838000,yes
IP,11,7,22.435000,yes
IP,11,8,23.012000,yes
IP,11,9,23.633000,yes
IP,11,10,14.820000,yes
IP,12,1,21.209000,no
IP,12,2,21.421000,no
IP,12,3,56.028000,no
IP,12,4,15.008000,no
IP,12,5,30.015000,no
IP,12,6,17.062000,no
IP,12,7,36.018000,no
IP,12,8,12.006000,no
IP,12,9,30.701000,no
IP,12,10,27.226000,no
