session,trial,latency_ms
1,1,12.758000
1,2,10.005000
1,3,17.713000
1,4,17.008000
1,5,9.004000
1,6,7.003000
1,7,12.006000
1,8,11.505000
1,9,10.005000
1,10,10.024000
2,1,17.145000
2,2,13.007000
2,3,34.017000
2,4,14.415000
2,5,78.039000
2,6,10.005000
2,7,32.016000
2,8,7.833000
2,9,53.797000
2,10,8.757000
3,1,15.729000
3,2,18.488000
3,3,17.003000
3,4,7.312000
3,5,15.008000
3,6,11.006000
3,7,9.607000
3,8,10.005000
3,9,13.820000
3,10,19.009000
4,1,56.028000
4,2,10.005000
4,3,24.012000
4,4,21.011000
4,5,13.007000
4,6,11.006000
4,7,14.323000
4,8,9.659000
4,9,16.008000
4,10,16.008000
5,1,13.007000
5,2,15.950000
5,3,9.004000
5,4,24.012000
5,5,7.080000
5,6,20.010000
5,7,16.128000
5,8,27.034000
5,9,18.009000
5,10,27.543000
6,1,20.010000
6,2,15.217000
6,3,14.124000
6,4,13.006000
6,5,14.405000
6,6,13.893000
6,7,22.887000
6,8,15.007000
6,9,18.335000
6,10,15.008000
7,1,17.009000
7,2,17.716000
7,3,9.004000
7,4,13.006000
7,5,6.003000
7,6,11.005000
7,7,4.002000
7,8,8.481000
7,9,8.794000
7,10,9.004000
8,1,15.342000
8,2,16.008000
8,3,13.006000
8,4,12.006000
8,5,13.724000
8,6,16.382000
8,7,14.007000
8,8,10.235000
8,9,14.007000
8,10,12.006000
9,1,9.004000
9,2,5.003000
9,3,5.003000
9,4,12.006000
9,5,15.693000
9,6,10.005000
9,7,13.412000
9,8,17.124000
9,9,13.468000
9,10,20.031000
10,1,21.097000
10,2,17.307000
10,3,10.005000
10,4,22.011000
10,5,12.592000
10,6,13.006000
10,7,16.008000
10,8,15.007000
10,9,12.256000
10,10,30.015000

trial,mean_ms,std_ms,n
1,19.7129,13.2401,10
2,13.8706,4.3190,10
3,15.2891,8.5306,10
4,15.5793,5.2968,10
5,18.4555,21.2037,10
6,12.3321,3.6931,10
7,15.4396,7.5651,10
8,13.1890,5.7619,10
9,17.8499,12.9996,10
10,16.7405,7.4799,10
